text,label
You're a dumb fuck,1
Thanks for the help,0
Go to hell!,1
What a great day!,0
f@ck this assignment,1
See you tomorrow!,0
This is absolute shit,1
Have a wonderful evening,0
You're such a bitch,1
I appreciate your support,0
He's a motherfucker,1
Let's grab lunch later,0
What the hell is this?,1
Great work on the project,0
Stupid asshole!,1
Can't wait to see you,0
Fuck you and your lies,1
Sending positive energy,0
He's an idiot,1
Looking forward to our meeting,0
Shut the hell up,1
You're a dumbass,1
Piece of shit,1
What the fuck is wrong with you,1
Holy shit,1
Screw you,1
You stupid idiot,1
Stop being an asshole,1
Go f*** yourself,1
Such a bitch move,1
Damn you,1
F u c k off,1
Absolute bullshit,1
You are a dick,1
What a shitty idea,1
Get the hell out,1
You goddamn liar,1
Freaking piece of shit,1
You are an idiot,1
Shut your damn mouth,1
This is dumb as hell,1
You piss me off,1
f@ck off,1
f.u.c.k this,1
sh!t happens,1
a$$hole alert,1
bi7ch please,1
c r a p idea,1
What the hell man,1
damn that was stupid,1
You little prick,1
Go to hell already,1
This is horse shit,1
Shut up idiot,1
That was a dick move,1
You are so full of shit,1
Ugly as hell,1
f-ck this noise,1
p i s s off,1
stop this crap,1
Thank you for your time,0
I hope you are well,0
Please review the document,0
Let us meet tomorrow morning,0
Great job on the report,0
I appreciate your feedback,0
Looking forward to the weekend,0
See you at the office,0
This is a helpful example,0
The project is progressing well,0
Have a nice day ahead,0
Sending best wishes,0
That was very thoughtful,0
Congratulations on your promotion,0
The weather is beautiful today,0
I completely agree with you,0
Please share the latest update,0
Let me know your thoughts,0
Thanks for the quick response,0
I had a great time today,0
Happy to help anytime,0
Take care and stay safe,0
This solution works perfectly,0
The meeting starts at noon,0
Lunch was delicious today,0
Your presentation was clear,0
We can finalize the plan,0
That sounds like a plan,0
I will send the notes,0
Good luck with the exam,0
The team did excellent work,0
Let us schedule a call,0
Appreciate your patience,0
Welcome to the team,0
It was nice to meet you,0
Your help means a lot,0
I love this approach,0
We should celebrate soon,0
The code passed all tests,0
Please submit your report,0
Let's get lunch,0
Lets get lunch,0
Let us get lunch,0
Let's get some lunch,0
Let's get lunch soon,0
Let's have lunch,0
Let's do lunch,0
Want to get lunch,0
We should get lunch,0
Let's grab lunch today,0
Let's get coffee,0
Lets get coffee,0
Want to grab coffee,0
Let's grab coffee,0
We should grab coffee,0
Let's meet for lunch,0
Let's meet for coffee,0
Let's get dinner,0
Let's have dinner,0
Let's meet for breakfast,0
Grab lunch later,0
Lunch sounds good,0
Coffee sounds good,0
Eat shit,1
You jackass,1
Piss off already,1
Screw this shit,1
Shut the f up,1
You dumb piece of crap,1
You freaking idiot,1
Dumb prick,1
Absolute garbage bullshit,1
You are such a jerk,1
What the hell is wrong with you,1
Get lost asshole,1
You stupid moron,1
Damn this shit,1
Freaking dumbass,1
You are full of crap,1
Go screw yourself,1
You worthless idiot,1
Holy freaking shit,1
This is bull crap,1
Stop your bullshit,1
I do not give a damn,1
